Date,Room_Counts,Guest_Count,No_DVC_Room_Count,No_DVC_Guest_Count
2015-03-12,26857,84229,22505,68627
2015-03-13,26985,85577,22610,69702
2015-03-14,27897,88674,23416,72158
2015-03-15,27837,88494,23373,71913
2015-03-16,27924,88514,23436,71861
2015-03-17,27851,87713,23377,71259
2015-03-18,27816,88341,23329,71884
2015-03-19,27685,89123,23215,72705
2015-03-20,27557,88544,23124,72397
2015-03-21,27701,88315,23291,72303
2015-03-22,27295,85879,22952,70227
2015-03-23,27704,86894,23340,71119
2015-03-24,27638,86567,23310,70930
2015-03-25,27173,86179,22860,70504
2015-03-26,27864,89471,23238,72603
2015-03-27,27261,89531,22667,72394
2015-03-28,27845,92930,23242,75197
2015-03-29,26018,88143,21669,71018
2015-03-30,27452,92876,23022,75279
2015-03-31,27563,93623,23081,75653
2015-04-01,26520,92830,21870,74000
2015-04-02,26254,92472,21553,73236
2015-04-03,26203,92309,21525,73066
2015-04-04,26167,92456,21508,73194
2015-04-05,25909,91999,21244,72695
2015-04-06,28066,99053,23280,79301
2015-04-07,28246,99039,23436,79279
2015-04-08,28291,97791,23474,78183
2015-04-09,27936,95381,23174,76246
2015-04-10,25641,85601,21281,68711
2015-04-11,23104,74304,19393,60767
2015-04-12,21277,65599,17632,53047
2015-04-13,21725,65345,18117,53216
2015-04-14,21933,65292,18273,53131
2015-04-15,23033,69557,19319,57069
2015-04-16,25469,77989,21506,64460
2015-04-17,26755,83521,22525,68735
2015-04-18,27703,85378,23235,69581
2015-04-19,25649,76826,21371,61881
2015-04-20,25392,75205,21130,60377
2015-04-21,24698,73454,20486,58758
2015-04-22,25247,75892,20980,60936
2015-04-23,27256,83292,22832,67756
2015-04-24,27601,86528,23094,70620
2015-04-25,27798,86920,23198,71029
2015-04-26,26165,79994,22002,65958
2015-04-27,25431,76295,21473,63154
2015-04-28,22183,65211,18383,52692
2015-04-29,22746,67101,18809,54127
2015-04-30,26602,81136,22326,66855
2015-05-01,27548,86377,23048,70750
2015-05-02,27876,87771,23255,71651
2015-05-03,27221,83272,22759,68065
2015-05-04,25101,74563,20708,59955
2015-05-05,24689,71685,20331,57225
2015-05-06,25138,73316,20752,58713
2015-05-07,26162,77168,21650,61858
2015-05-08,26917,82125,22371,66206
2015-05-09,26824,82564,22296,66531
2015-05-10,23792,71330,19447,56287
2015-05-11,24482,70469,20162,55718
2015-05-12,24821,70192,20509,55403
2015-05-13,25998,73126,21587,57917
2015-05-14,25826,76265,21313,60473
2015-05-15,27457,83548,22896,67344
2015-05-16,27781,85259,23124,68648
2015-05-17,24964,75622,20589,60202
2015-05-18,24701,73279,20429,58441
2015-05-19,23974,71042,19858,56832
2015-05-20,23961,72441,19792,57801
2015-05-21,25949,80359,21512,64389
2015-05-22,27880,89551,23273,72204
2015-05-23,28132,92838,23408,74656
2015-05-24,27862,93662,23188,75458
2015-05-25,24747,82530,20417,65865
2015-05-26,24532,81455,20250,65041
2015-05-27,24977,82203,20706,65923
2015-05-28,25348,83372,20950,66541
2015-05-29,25768,85820,21242,68455
2015-05-30,25320,84389,20771,66843
2015-05-31,21585,72311,17289,55684
2015-06-01,22140,73165,17809,56473
2015-06-02,22323,72500,18038,55954
2015-06-03,22758,73858,18391,56953
2015-06-04,23052,76704,18506,59030
2015-06-05,23619,79405,19104,61794
2015-06-06,24334,82084,19756,64084
2015-06-07,24486,83328,19885,64969
2015-06-08,25992,88690,21388,70131
2015-06-09,26912,90875,22307,72323
2015-06-10,27063,91546,22398,72804
2015-06-11,26999,91047,22356,72431
2015-06-12,25522,87121,20889,68675
2015-06-13,24751,84202,20192,66147
2015-06-14,24236,82072,19744,64067
2015-06-15,24141,81515,19722,63779
2015-06-16,25428,84793,20953,66832
2015-06-17,25457,85500,20936,67449
2015-06-18,25482,85820,20935,67664
2015-06-19,23980,81944,19563,64341
2015-06-20,23071,78893,18683,61545
2015-06-21,22822,78516,18438,60956
2015-06-22,24324,83290,19831,65273
2015-06-23,25061,85269,20483,66932
2015-06-24,25668,86478,21106,68084
2015-06-25,26185,87407,21416,68392
2015-06-26,25651,85881,20883,66840
2015-06-27,24590,82120,20106,64362
2015-06-28,23159,79690,18723,61731
2015-06-29,23270,80630,18923,62939
2015-06-30,22865,79501,18571,62022
2015-07-01,22699,79196,18404,61734
2015-07-02,23950,82936,19557,65183
2015-07-03,25534,87755,21011,69599
2015-07-04,25959,89184,21346,70785
2015-07-05,20630,72153,16387,55246
2015-07-06,21238,74064,17117,57556
2015-07-07,21981,76210,17861,59742
2015-07-08,22739,78432,18608,61937
2015-07-09,23339,80398,19197,63934
