swid,ref_idvl_id,exprnc_id,travelPlanId,reservationId,FAC_ID,entrprs_fac_id,res_fac_nm,trvl_sts_nm,TPS_ARVL_DT,TPS_DPRT_DT,new_tkt_vld_strt_dt,new_tkt_exp_d,old_tkt_vld_strt_dt,old_tkt_exp_dt
{4C7F0D2B-05F8-464F-BE09-1A2C214FF4A1},2171537587,CAFEF00D650200000000000227897435,490512211498,490511447742,80010383,80010383,Disney's Saratoga Springs Resort & Spa,past visit,6/19/2019,6/21/2019,6/20/2019,6/20/2019,5/3/2019,2/20/2019
{97701C4F-07EE-4953-8763-79C67825BEE0},100455134,CAFEF00D650200000000000375332570,482781684012,482781293609,80010397,80010397,Disney's Port Orleans Resort - Riverside,canelled,6/5/2019,6/9/2019,6/8/2019,6/8/2019,6/4/2019,6/4/2019
{AF39CF4F-46D3-4749-A953-58875491F7DA},375318381,CAFEF00D650200000000000150070581,482843835191,482841738372,80010391,80010391,Disney's BoardWalk Villas,past visit,5/11/2019,5/16/2019,5/11/2019,5/11/2019,10/9/2017,5/11/2019
{7ECA726F-D6EC-47F9-8A72-6FD6ECE7F969},2457207503,CAFEF00D650200000000000017024314,481694349382,481691669370,17797842,17797842,Disney's Polynesian Villas & Bungalows,past visit,1/18/2019,1/20/2019,1/17/2019,1/20/2019,1/18/2019,1/21/2019
{8C8E6AEA-7DA9-4677-88DE-3178EB3557F7},2164574852,CAFEF00D650200000000000013771012,471573226091,471571386835,17797842,17797842,Disney's Polynesian Villas & Bungalows,past visit,5/6/2018,5/7/2018,5/5/2019,5/5/2019,11/8/2017,5/5/2019
{7C8CB98F-3887-455F-8370-DAC42FB4F121},372229961,CAFEF00D650200000000000024672795,483618979679,483611931075,80010385,80010385,Disney's Contemporary Resort,past visit,12/30/2018,1/3/2019,12/31/2018,1/4/2019,12/30/2018,12/31/2018
{8113F880-AA8E-48C1-87A6-1AF8ADF287FA},361600789,CAFEF00D650200000000000047387022,483505597307,483501240771,80010405,80010405,Disney's Vero Beach Resort,past visit,2/23/2019,2/25/2019,6/8/2019,6/10/2019,11/8/2017,6/10/2019
{7541BAD1-97FB-41AB-ABF6-733B3479327C},2783839442,CAFEF00D650200000000000156219476,482988734572,482981760395,18390992,18390992,Copper Creek Villas & Cabins at Disney's Wilderness Lodge,past visit,5/2/2019,5/5/2019,5/3/2019,5/7/2019,5/5/2019,3/2/2019
{3031497C-5CC5-45D5-B149-7C5CC5B5D543},2087410589,CAFEF00D650200000000000143399434,483433499311,483431824126,80010400,80010400,Disney's All-Star Music Resort,past visit,12/9/2018,12/10/2018,12/10/2018,12/10/2018,12/9/2018,12/10/2018
{5A70D074-00CD-4D85-BBD5-D25D7617CFC5},371519787,CAFEF00D650200000000000176168962,483484982251,483481127934,80010391,80010391,Disney's BoardWalk Villas,booked,7/13/2019,7/15/2019,7/12/2019,7/15/2019,7/21/2019,3/15/2019
{B85C1CC7-0EF6-4C1D-9DAE-07133A923F18},945178938,CAFEF00D650200000000000007090757,490178573961,490171739656,1,1,Bay Lake Tower at Disney's Contemporary Resort,booked,12/13/2019,12/17/2019,12/9/2019,12/18/2019,12/12/2019,6/18/2019
{4B2BBAF8-D620-4BFC-A4A4-DD1FE0133F1B},406487431,CAFEF00D650200000000000200266229,481922641081,481921399560,80010401,80010401,Disney's All-Star Sports Resort,past visit,1/17/2019,1/18/2019,1/15/2019,1/21/2019,1/16/2019,1/15/2019
{122B448E-A840-42A2-ABE8-6E6FDBC840B5},407325126,CAFEF00D650200000000000044505840,490063421871,490061767502,1,1,Bay Lake Tower at Disney's Contemporary Resort,past visit,3/3/2019,3/4/2019,3/3/2019,3/12/2019,10/9/2017,3/8/2019
{59E9FB1A-2001-446B-A9FB-1A2001746B7E},2174037323,CAFEF00D650200000000000129120071,482553800471,482551685267,80010404,80010404,Disney's Art of Animation Resort,past visit,11/4/2018,11/8/2018,11/6/2018,11/6/2018,11/4/2018,11/6/2018
{E32A0818-7CF7-4652-B7E5-49DAB27BA44D},3475366891,CAFEF00D650200000000000123629111,470104396312,470101560223,80010396,80010396,Disney's Coronado Springs Resort,past visit,1/5/2018,1/6/2018,1/9/2019,1/17/2019,12/22/2017,1/9/2019
{C593A3A7-B10A-43A3-93A3-A7B10A53A30D},1123384258,CAFEF00D650200000000000234281844,482212649556,482211380795,80010403,80010403,Disney's Pop Century Resort,booked,6/21/2019,6/27/2019,6/21/2019,6/21/2019,6/22/2019,6/21/2019
{1BB02AB5-8D5D-4A96-98F7-570E69BAB497},3342036738,CAFEF00D650200000000000358867061,490210330325,490211068685,80010392,80010392,The Campsites at Disney's Fort Wilderness Resort,past visit,1/21/2019,1/24/2019,1/23/2019,1/23/2019,1/21/2019,1/21/2019
{2137903D-E45F-4FBA-B790-3DE45F0FBAC7},337725215,CAFEF00D650200000000000239740608,482978394972,482971691585,80010400,80010400,Disney's All-Star Music Resort,past visit,12/28/2018,1/3/2019,1/2/2019,1/6/2019,12/30/2018,1/1/2019
{EC7E9E02-40C2-4AF7-ADE3-78FE1A0189D4},401244464,CAFEF00D650200000000000084831123,482419297687,482411741878,80010402,80010402,Disney's All-Star Movies Resort,past visit,1/1/2019,1/5/2019,1/1/2019,1/5/2019,1/2/2019,1/1/2019
{BC6883B0-E43C-4D0D-8653-7EC966A21D34},3473940662,CAFEF00D650200000000000225569533,491280803361,491281436773,273239,273239,Disney's Animal Kingdom Villas - Kidani Village,past visit,6/10/2019,6/11/2019,6/10/2019,6/14/2019,6/11/2019,6/6/2019
{24384CDF-0AAD-4B6B-B84C-DF0AADFB6B4B},382715777,CAFEF00D650200000000000316090729,483309591895,483301015102,80010400,80010400,Disney's All-Star Music Resort,canelled,3/1/2019,3/5/2019,3/4/2019,3/8/2019,3/1/2019,3/6/2019
{C7F1A7D5-9DA6-4C36-B872-9B6049633B15},969546540,CAFEF00D650200000000000003416674,482988706602,482981755432,80010403,80010403,Disney's Pop Century Resort,past visit,2/4/2019,2/7/2019,2/7/2019,2/7/2019,2/4/2019,2/7/2019
{CB1864E2-D16B-4BF1-B99A-4CE031456C90},1143083216,CAFEF00D650200000000000027023994,490126362306,490121318320,80010392,80010392,The Campsites at Disney's Fort Wilderness Resort,past visit,3/25/2019,3/29/2019,3/28/2019,3/28/2019,3/26/2019,3/25/2019
{6954499B-C456-44A7-8A90-DA9560AA6E44},3413588268,CAFEF00D650200000000000377048302,491104661433,491101143384,80010397,80010397,Disney's Port Orleans Resort - Riverside,past visit,6/19/2019,6/25/2019,6/20/2019,6/20/2019,6/19/2019,6/20/2019
{C67F153C-DD8A-490D-B0FF-EC78C6F27D9F},2228389446,CAFEF00D650200000000000367254617,490584980851,490581012296,80010404,80010404,Disney's Art of Animation Resort,past visit,3/11/2019,3/14/2019,3/12/2019,3/15/2019,11/11/2019,3/12/2019
{4CB51A06-463A-44CF-84B6-F6BF0630CE07},459120154,CAFEF00D650200000000000160002911,482036459507,482031139875,80010383,80010383,Disney's Saratoga Springs Resort & Spa,past visit,2/16/2019,2/20/2019,2/17/2019,2/20/2019,2/18/2019,12/29/2018
{337801F8-4352-4881-B801-F84352A8810E},325986527,CAFEF00D650200000000000087210688,481260490371,481261523665,80010407,80010407,Disney's Beach Club Villas,past visit,1/31/2019,2/4/2019,1/31/2019,1/31/2019,1/30/2019,1/31/2019
{4A73F581-BFAF-486D-B3F5-81BFAFC86D75},1937608808,CAFEF00D650200000000000062819583,482440098691,482441904486,80010397,80010397,Disney's Port Orleans Resort - Riverside,past visit,3/20/2019,3/30/2019,3/21/2019,3/29/2019,4/1/2019,3/8/2019
{312D0EFC-AA92-4AB5-AD0E-FCAA921AB516},1961895034,CAFEF00D650200000000000009439235,490252254101,490251438379,80010398,80010398,Disney's Port Orleans Resort - French Quarter,auto cancel,4/17/2019,4/20/2019,4/17/2019,4/21/2019,4/18/2019,4/16/2019
{BC46F9A6-172E-4974-BBA1-CA02068147EB},3300771941,CAFEF00D650200000000000332370724,483640054251,483641140840,80010403,80010403,Disney's Pop Century Resort,past visit,5/4/2019,5/11/2019,5/5/2019,5/8/2019,11/8/2017,5/8/2019
{7C41BB85-284C-45E8-81BB-85284C25E8FB},494014632,CAFEF00D650200000000000233614186,481839522921,481831766499,80010384,80010384,Disney's Grand Floridian Resort & Spa,past visit,4/28/2019,5/5/2019,4/26/2019,5/8/2019,4/27/2019,2/3/2019
{302EE105-9DC8-4F44-AEE1-059DC8AF44CD},338517745,CAFEF00D650200000000000230048524,482864546701,482861887069,80010395,80010395,Disney's Animal Kingdom Lodge,past visit,1/11/2019,1/14/2019,1/12/2019,1/12/2019,1/13/2019,1/3/2019
{6C4D984D-245B-4C64-8D62-0D15D0C0D7B1},1785054607,CAFEF00D650200000000000081457055,483371602811,483371433013,80010400,80010400,Disney's All-Star Music Resort,past visit,12/30/2018,1/2/2019,12/30/2018,1/2/2019,12/29/2018,1/15/2019
{C3E4A133-CBF8-4961-9AB3-C5FDA4524DC3},3352784364,CAFEF00D650200000000000380030478,490345616971,490341104070,80010385,80010385,Disney's Contemporary Resort,past visit,4/23/2019,4/28/2019,4/24/2019,5/1/2019,4/23/2023,4/24/2019
{DA071F25-3D58-4144-8D4E-9B685E8416B8},2156947985,CAFEF00D650200000000000095888018,483340752681,483341259730,80010387,80010387,Disney's Old Key West Resort,booked,8/31/2019,9/7/2019,9/1/2019,9/8/2019,9/2/2019,6/23/2019
{BFA3589D-E6FF-409E-A358-9DE6FFB09E1F},2155980767,CAFEF00D650200000000000081367229,491466376361,491461639275,16491822,16491822,The Villas at Disney's Grand Floridian Resort & Spa,past visit,7/2/2019,7/4/2019,6/25/2019,7/6/2019,6/29/2019,6/3/2019
{E640B893-BD4F-490D-8401-78FC6DA3A280},2345858688,CAFEF00D650200000000000136498041,483587953202,483581726320,80010385,80010385,Disney's Contemporary Resort,past visit,1/23/2019,1/27/2019,1/23/2019,1/29/2019,11/29/2018,1/14/2019
{ABCDE093-B993-4791-8D83-EE702BB58EE9},2712417764,CAFEF00D650200000000000368790883,490626789051,490621360504,80010397,80010397,Disney's Port Orleans Resort - Riverside,past visit,3/19/2019,3/26/2019,3/25/2019,3/25/2019,3/24/2019,3/25/2019
{06362308-E161-4D9F-89DB-BD3EB93F3F6F},423987002,CAFEF00D650200000000000312059960,483092507781,483091536158,80010400,80010400,Disney's All-Star Music Resort,past visit,11/22/2018,11/27/2018,11/23/2018,11/29/2018,11/22/2018,11/23/2018
{250DCA1B-8EF4-4889-8501-C545F8DDE89F},2239653747,CAFEF00D650200000000000182463240,490032013257,490031490687,80010383,80010383,Disney's Saratoga Springs Resort & Spa,past visit,4/3/2019,4/9/2019,4/8/2019,4/8/2019,4/6/2019,4/8/2019
{5B98F8CF-7970-459D-B33A-D77A34942087},125919087,CAFEF00D650200000000000146985892,483278464181,483271776003,80010401,80010401,Disney's All-Star Sports Resort,past visit,3/23/2019,3/29/2019,3/22/2019,3/31/2019,3/25/2019,3/22/2019
{BE176B29-A6FC-46A7-976B-29A6FC46A71E},2295110480,CAFEF00D650200000000000210455223,482046970149,482041241529,80010388,80010388,Disney's Polynesian Village Resort,booked,11/4/2019,11/10/2019,11/4/2019,11/10/2019,11/5/2019,5/29/2019
